rsi,symbol,win_ratio,priority,Symbol,token
30,MEDPLUS,66.67%,0,MEDPLUS,7254
27,CHEMPLASTS,70.00%,0,CHEMPLASTS,5453
45,EASEMYTRIP,43.24%,0,EASEMYTRIP,2792
47,CROMPTON,16.67%,0,CROMPTON,17097
40,SUNTECK,41.67%,0,SUNTECK,17641
34,METROBRAND,64.29%,0,METROBRAND,7249
44,IDEA,28.38%,0,IDEA,14366
45,SIGNATURE,65.00%,0,SIGNATURE,18743
57,ROUTE,50.00%,0,ROUTE,138
51,HFCL,39.73%,0,HFCL,21955
50,JUBLPHARMA,42.62%,0,JUBLPHARMA,3637
50,CREDITACC,27.78%,0,CREDITACC,4425
48,RAJESHEXPO,43.42%,0,RAJESHEXPO,7401
52,NETWORK18,38.75%,0,NETWORK18,14115
45,VIPIND,46.88%,0,VIPIND,3703
56,UPL,35.44%,0,UPL,11287
24,PRINCEPIPE,63.64%,0,PRINCEPIPE,16088
46,AETHER,44.90%,0,AETHER,9810
50,SONACOMS,33.33%,0,SONACOMS,4687
47,AWL,30.00%,0,AWL,8115
53,TV18BRDCST,45.10%,0,TV18BRDCST,14208
46,STARHEALTH,42.86%,0,STARHEALTH,7089
50,INDIGOPNTS,31.15%,0,INDIGOPNTS,2053
51,RRKABEL,47.06%,0,RRKABEL,18578
45,TATATECH,37.50%,0,TATATECH,20297
43,TVSSCS,21.21%,0,TVSSCS,18155
