invested_amount,quantity,entry_price,exit_price,index,entry_time,exit_time,pnl,percentage_move,rsi
99950.2,940,106.33,105.2667,4257,2025-03-24 13:05:00+05:30,2025-03-24 15:10:00+05:30,-999.5019999999982,1,49
99981.25,941,106.25,105.1875,4257,2025-03-24 13:55:00+05:30,2025-03-24 15:10:00+05:30,-999.8125,1,49
99959.6,940,106.34,105.2766,4257,2025-03-24 14:25:00+05:30,2025-03-24 15:10:00+05:30,-999.5960000000014,1,49
99983.88,942,106.14,105.07860000000001,4258,2025-03-24 12:05:00+05:30,2025-03-24 15:15:00+05:30,-999.8387999999924,1,49
99987.8,940,106.37,105.30630000000001,4263,2025-03-25 09:15:00+05:30,2025-03-25 09:25:00+05:30,-999.8779999999974,1,49
99944.0,961,104.0,102.96,4299,2025-03-25 12:05:00+05:30,2025-03-25 12:25:00+05:30,-999.440000000006,1,49
99930.51,963,103.77,102.7323,4329,2025-03-25 12:45:00+05:30,2025-03-25 14:55:00+05:30,-999.305100000001,1,49
99981.0,966,103.5,102.66,4335,2025-03-25 13:35:00+05:30,2025-03-25 15:25:00+05:30,-811.4400000000032,1,49
99994.4,968,103.3,102.267,4341,2025-03-26 09:25:00+05:30,2025-03-26 09:40:00+05:30,-999.9440000000012,1,49
99910.0,970,103.0,101.97,4357,2025-03-26 10:15:00+05:30,2025-03-26 11:00:00+05:30,-999.100000000001,1,49
99960.48000000001,972,102.84,101.8116,4358,2025-03-26 10:05:00+05:30,2025-03-26 11:05:00+05:30,-999.6048000000047,1,49
99924.66,981,101.86,100.8414,4390,2025-03-26 12:45:00+05:30,2025-03-26 13:45:00+05:30,-999.2466000000063,1,49
99935.04000000001,984,101.56,102.5756,4412,2025-03-27 09:15:00+05:30,2025-03-27 09:20:00+05:30,999.3503999999922,1,49
99957.78000000001,982,101.79,101.0,4485,2025-03-27 11:50:00+05:30,2025-03-27 15:25:00+05:30,-775.7800000000061,1,49
99898.86,982,101.73,101.0,4485,2025-03-27 12:35:00+05:30,2025-03-27 15:25:00+05:30,-716.8600000000039,1,49
99931.78,983,101.66,101.0,4485,2025-03-27 14:20:00+05:30,2025-03-27 15:25:00+05:30,-648.7799999999967,1,49
99961.27,983,101.69,101.0,4485,2025-03-27 14:45:00+05:30,2025-03-27 15:25:00+05:30,-678.2699999999977,1,49
99975.75,973,102.75,101.7225,4488,2025-03-28 09:15:00+05:30,2025-03-28 09:25:00+05:30,-999.7575000000033,1,49
99918.5,982,101.75,100.7325,4510,2025-03-28 09:40:00+05:30,2025-03-28 11:15:00+05:30,-999.1849999999984,1,49
99918.5,982,101.75,100.7325,4510,2025-03-28 10:10:00+05:30,2025-03-28 11:15:00+05:30,-999.1849999999984,1,49
99971.72,1009,99.08,100.0708,4566,2025-04-01 09:15:00+05:30,2025-04-01 09:40:00+05:30,999.7172000000073,1,49
99999.6,998,100.2,101.20200000000001,4627,2025-04-01 12:10:00+05:30,2025-04-01 14:45:00+05:30,999.9960000000095,1,49
99953.92,992,100.76,101.7676,4675,2025-04-02 10:00:00+05:30,2025-04-02 12:30:00+05:30,999.5391999999965,1,49
99987.9,989,101.1,102.11099999999999,4675,2025-04-02 11:25:00+05:30,2025-04-02 12:30:00+05:30,999.8789999999957,1,49
99960.0,980,102.0,103.02,4725,2025-04-03 09:35:00+05:30,2025-04-03 10:25:00+05:30,999.599999999996,1,49
99914.84999999999,981,101.85,102.86849999999998,4725,2025-04-03 10:15:00+05:30,2025-04-03 10:25:00+05:30,999.1484999999891,1,49
99948.14,958,104.33,105.3733,4781,2025-04-03 14:35:00+05:30,2025-04-03 15:05:00+05:30,999.481400000002,1,49
99946.2,942,106.1,105.039,4799,2025-04-04 09:55:00+05:30,2025-04-04 10:20:00+05:30,-999.4619999999933,1,49
99992.2,946,105.7,106.757,4805,2025-04-04 10:40:00+05:30,2025-04-04 10:50:00+05:30,999.9220000000021,1,49
